"filename", "language", "JSON", "JavaScript", "SCSS", "comment", "blank", "total"
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\package.json", "JSON", 1, 0, 0, 0, 0, 1
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\App.js", "JavaScript", 0, 6, 0, 0, 0, 6
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\AchieveComp\index.js", "JavaScript", 0, 2, 0, 0, 0, 2
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\HistoryComp\index.js", "JavaScript", 0, 4, 0, 1, 1, 6
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\ProjectComp\index.js", "JavaScript", 0, 2, 0, 0, 0, 2
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\SkillComp\index.js", "JavaScript", 0, 2, 0, 0, 0, 2
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\index.js", "JavaScript", 0, 45, 0, 5, 8, 58
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\index.scss", "SCSS", 0, 0, 9, 0, 2, 11
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\openaiBio.js", "JavaScript", 0, 19, 0, 0, 2, 21
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AdminPanel\index.js", "JavaScript", 0, 298, 0, 4, 45, 347
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AdminPanel\index.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardLayout\index.js", "JavaScript", 0, -9, 0, -8, -6, -23
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Footer\index.scss", "SCSS", 0, 0, 0, 1, 0, 1
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AddPostBar\index.js", "JavaScript", 0, 2, 0, 8, 1, 11
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AppCardTeacher\index.js", "JavaScript", 0, 273, 0, 0, 25, 298
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AppCardTeacher\index.scss", "SCSS", 0, 0, 73, 4, 16, 93
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\ApplicationCard\index.js", "JavaScript", 0, 147, 0, 0, 21, 168
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\ApplicationCard\index.scss", "SCSS", 0, 0, 76, 1, 13, 90
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\ApplicationSuccess\index.js", "JavaScript", 0, 38, 0, 0, 3, 41
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\ApplicationSuccess\index.scss", "SCSS", 0, 0, 36, 0, 7, 43
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\JobApplication\index.js", "JavaScript", 0, 109, 0, 5, 19, 133
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\JobApplication\index.scss", "SCSS", 0, 0, 85, 0, 16, 101
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\JobPost\index.js", "JavaScript", 0, 4, 0, 2, -1, 5
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\applyAiFilter.js", "JavaScript", 0, 19, 0, 0, 4, 23
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\index.js", "JavaScript", 0, 92, 0, 4, 5, 101
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\index.scss", "SCSS", 0, 0, 10, 0, 3, 13
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenuInterior\index.js", "JavaScript", 0, 75, 0, -2, 12, 85
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenuInterior\index.scss", "SCSS", 0, 0, 18, 0, 5, 23
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignIn\index.js", "JavaScript", 0, 26, 0, 0, -2, 24
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignUp\index.js", "JavaScript", 0, 0, 0, 0, -1, -1
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\UserPosts\index.js", "JavaScript", 0, 178, 0, -21, 21, 178
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\UserPosts\index.scss", "SCSS", 0, 0, 6, 26, 6, 38
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\UserPosts\pendingPost\index.js", "JavaScript", 0, 37, 0, 0, 5, 42
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\UserPosts\pendingPost\index.scss", "SCSS", 0, 0, 5, 0, 0, 5
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\context\AuthContext.js", "JavaScript", 0, 1, 0, 0, 3, 4
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\utils\auth.js", "JavaScript", 0, 184, 0, 11, 22, 217
"Total", "-", 1, 1554, 318, 41, 256, 2170
