"filename", "language", "JSON", "JavaScript", "SCSS", "comment", "blank", "total"
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\package-lock.json", "JSON", 38, 0, 0, 0, 0, 38
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\package.json", "JSON", 7, 0, 0, 0, 0, 7
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\App.js", "JavaScript", 0, 4, 0, 0, -1, 3
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\App.scss", "SCSS", 0, 0, 3, 0, 3, 6
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\openaiBio.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AdminDashBoard\index.js", "JavaScript", 0, 795, 0, 4, 60, 859
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AdminDashBoard\index.scss", "SCSS", 0, 0, 836, 2, 161, 999
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AdminPanel\index.js", "JavaScript", 0, 2, 0, 0, -1, 1
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AddPostBar\index.js", "JavaScript", 0, -40, 0, -28, -9, -77
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\TeacherView\index.js", "JavaScript", 0, 619, 0, 9, 61, 689
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\TeacherView\index.scss", "SCSS", 0, 0, 432, 8, 83, 523
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\applyAiFilter.js", "JavaScript", 0, 2, 0, 0, 0, 2
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\index.js", "JavaScript", 0, -15, 0, -17, -7, -39
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Layout\index.js", "JavaScript", 0, 1, 0, 0, -1, 0
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenuInterior\index.js", "JavaScript", 0, -2, 0, -3, 0, -5
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\UserPosts\index.js", "JavaScript", 0, 34, 0, 0, -3, 31
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\UserPosts\index.scss", "SCSS", 0, 0, 0, -1, 0, -1
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\config\config.js", "JavaScript", 0, 1, 0, 0, 0, 1
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\index.js", "JavaScript", 0, -1, 0, 0, 1, 0
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\utils\auth.js", "JavaScript", 0, 0, 0, 0, 2, 2
"Total", "-", 45, 1401, 1271, -26, 350, 3041
